episode_global,task_suite_name,task_id,episode_idx,completed,success,steps,infer_calls,failure_reason,failure_mode,video_path,run_name,source
0,libero_goal,0,0,True,True,120,10,,no failure,episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task0_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task0_seed7_n10/episode_log.json
1,libero_goal,0,1,True,True,118,10,,no failure,episodes/task00_ep001_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task0_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task0_seed7_n10/episode_log.json
2,libero_goal,0,2,True,True,120,10,,no failure,episodes/task00_ep002_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task0_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task0_seed7_n10/episode_log.json
3,libero_goal,0,3,True,True,122,10,,no failure,episodes/task00_ep003_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task0_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task0_seed7_n10/episode_log.json
4,libero_goal,0,4,True,True,122,10,,no failure,episodes/task00_ep004_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task0_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task0_seed7_n10/episode_log.json
5,libero_goal,0,5,True,False,310,31,,policy behavior/no success,episodes/task00_ep005_open_the_middle_drawer_of_the_cabinet_failure/rollout_failure.mp4,stage4_libero_goal_task0_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task0_seed7_n10/episode_log.json
6,libero_goal,0,6,True,True,117,9,,no failure,episodes/task00_ep006_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task0_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task0_seed7_n10/episode_log.json
7,libero_goal,0,7,True,True,124,10,,no failure,episodes/task00_ep007_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task0_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task0_seed7_n10/episode_log.json
8,libero_goal,0,8,True,True,124,10,,no failure,episodes/task00_ep008_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task0_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task0_seed7_n10/episode_log.json
9,libero_goal,0,9,True,True,120,10,,no failure,episodes/task00_ep009_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task0_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task0_seed7_n10/episode_log.json
10,libero_goal,1,0,True,True,92,8,,no failure,episodes/task01_ep000_put_the_bowl_on_the_stove_success/rollout_success.mp4,stage4_libero_goal_task1_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task1_seed7_n10/episode_log.json
11,libero_goal,1,1,True,False,310,44,,policy behavior/no success,episodes/task01_ep001_put_the_bowl_on_the_stove_failure/rollout_failure.mp4,stage4_libero_goal_task1_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task1_seed7_n10/episode_log.json
12,libero_goal,1,2,True,True,89,9,,no failure,episodes/task01_ep002_put_the_bowl_on_the_stove_success/rollout_success.mp4,stage4_libero_goal_task1_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task1_seed7_n10/episode_log.json
13,libero_goal,1,3,True,True,103,9,,no failure,episodes/task01_ep003_put_the_bowl_on_the_stove_success/rollout_success.mp4,stage4_libero_goal_task1_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task1_seed7_n10/episode_log.json
14,libero_goal,1,4,True,True,91,8,,no failure,episodes/task01_ep004_put_the_bowl_on_the_stove_success/rollout_success.mp4,stage4_libero_goal_task1_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task1_seed7_n10/episode_log.json
15,libero_goal,1,5,True,True,98,10,,no failure,episodes/task01_ep005_put_the_bowl_on_the_stove_success/rollout_success.mp4,stage4_libero_goal_task1_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task1_seed7_n10/episode_log.json
16,libero_goal,1,6,True,True,94,10,,no failure,episodes/task01_ep006_put_the_bowl_on_the_stove_success/rollout_success.mp4,stage4_libero_goal_task1_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task1_seed7_n10/episode_log.json
17,libero_goal,1,7,True,True,88,9,,no failure,episodes/task01_ep007_put_the_bowl_on_the_stove_success/rollout_success.mp4,stage4_libero_goal_task1_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task1_seed7_n10/episode_log.json
18,libero_goal,1,8,True,True,107,11,,no failure,episodes/task01_ep008_put_the_bowl_on_the_stove_success/rollout_success.mp4,stage4_libero_goal_task1_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task1_seed7_n10/episode_log.json
19,libero_goal,1,9,True,True,96,10,,no failure,episodes/task01_ep009_put_the_bowl_on_the_stove_success/rollout_success.mp4,stage4_libero_goal_task1_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task1_seed7_n10/episode_log.json
20,libero_goal,2,0,True,True,90,8,,no failure,episodes/task02_ep000_put_the_wine_bottle_on_top_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task2_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task2_seed7_n10/episode_log.json
21,libero_goal,2,1,True,True,101,10,,no failure,episodes/task02_ep001_put_the_wine_bottle_on_top_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task2_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task2_seed7_n10/episode_log.json
22,libero_goal,2,2,True,True,101,10,,no failure,episodes/task02_ep002_put_the_wine_bottle_on_top_of_the_cabinet_success/rollout_success.mp4,stage4_libero_goal_task2_seed7_n10,/workspace/realtime_vla_flash_project/videos/stage4_limited_baseline/stage4_libero_goal_task2_seed7_n10/episode_log.json
